id_venda,data_venda,livro,autor,categoria,preco_unitario,quantidade,cliente_id,cidade,forma_pagamento,canal_venda,avaliacao
250,27-04-2025,A Menina que Roubava Livros,Markus Zusak,ficcao,"R$79,98",1,CLI1076,osasco,Cartão de Débito,Marketplace,3
370,2025-05-15,1984,George Orwell,Ficção,53.21,1,CLI1102,RJ,,Telefone,2
29,10/06/25,A Menina que Roubava Livros,Markus Zusak,Ficção,"R$ 27,49",4,CLI1155,RJ,,Site,4
568,14/03/25,1984,George Orwell,ficcao,"R$51,12",2,CLI1138,OSASCO ,Boleto,Loja Física,5
5,2025-12-16,Clean Code,Robert C. Martin,técnico,"R$ 34,57",2,CLI1155,RJ,Boleto,Loja Física,2
150,27-12-2025,O Alquimista,Paulo Coelho,ficcao,"R$ 41,38",4,CLI1176,Salvador,Cartão de Crédito,Marketplace,5
428,18/08/2025,A Revolução dos Bichos,George Orwell,CLASSICO,"R$80,82",1,CLI1173,Osasco,Pix,Site,4
302,2025-04-24,A Menina que Roubava Livros,Markus Zusak,ficção,"R$48,79",1,CLI1064,RJ,Boleto,Site,cinco
375,13/11/2025,Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,"R$ 24,11",2,CLI1013,SÃO PAULO,Cartão de Débito,Site,5
245,10/02/2025,O Poder do Hábito,Charles Duhigg,nao ficção,59.99,2,CLI1182,CURITIBA,Cartão de Crédito,Loja Física,4
455,23/12/2025,"Pai Rico, Pai Pobre",Robert Kiyosaki,nao ficção,"R$ 57,08",5,CLI1115,Curitiba,Cartão de Débito,Loja Física,2
310,29-11-2025,Python Fluente,Luciano Ramalho,técnico,"R$84,15",1,CLI1026,osasco,,Marketplace,5
303,2025-04-12,O Alquimista,Paulo Coelho,Ficção,"R$ 40,25",1,CLI1124,curitiba ,Pix,Marketplace,cinco
294,25-11-2025,Mindset,Carol Dweck,Não-ficção,"R$27,93",3,CLI1159,curitiba ,Boleto,Site,cinco
197,2025-11-09,A Revolução dos Bichos,George Orwell,Clássico,"R$76,65",3,CLI1042,sao paulo,,Loja Física,4
146,29-05-2025,Python Fluente,Luciano Ramalho,técnico,"R$75,06",1,CLI1002,Rio de Janeiro,Pix,Site,1
580,24/06/2025,"Pai Rico, Pai Pobre",Robert Kiyosaki,NÃO-FICÇÃO,"R$37,20",5,CLI1085,salvador,,Loja Física,1
479,21/03/25,Harry Potter e a Pedra Filosofal,J.K. Rowling,fantasia,"R$ 48,74",1,CLI1056,osasco,Boleto,Site,
516,08/07/25,1984,George Orwell,ficcao,"R$61,93",1,CLI1145,S. Paulo,Cartão de Crédito,Site,3
447,04/12/2025,Dom Casmurro,Machado de Assis,CLASSICO,"R$55,43",5,CLI1070,curitiba ,Cartão de Crédito,Loja Física,4
177,2025-06-07,O Pequeno Príncipe,Antoine de Saint-Exupéry,clássico,45.15,-1,CLI1092,Rio De Janeiro,Pix,Site,
233,11-11-2025,O Alquimista,Paulo Coelho,Ficção,"R$ 56,75",1,CLI1033,rio de janeiro,Pix,Loja Física,4
433,15-07-2025,"Pai Rico, Pai Pobre",Robert Kiyosaki,nao-ficção,"R$ 74,55",2,CLI1085,osasco,Cartão de Crédito,Marketplace,4
465,2025-03-24,O Alquimista,Paulo Coelho,FICÇÃO,"R$ 51,81",1,CLI1073,RJ,Boleto,Loja Física,
135,2025-07-25,"Pai Rico, Pai Pobre",Robert Kiyosaki,NÃO-FICÇÃO,"R$72,75",2,CLI1010,OSASCO ,Cartão de Crédito,Site,
61,25-01-2026,O Poder do Hábito,Charles Duhigg,NÃO-FICÇÃO,"R$63,48",5,CLI1052,sao paulo,Pix,Loja Física,1
60,11/06/2025,Duna,Frank Herbert,FICCAO CIENTIFICA,,1,CLI1082,belo horizonte,Cartão de Crédito,Telefone,5
101,2025-03-30,O Alquimista,Paulo Coelho,FICÇÃO,"R$88,67",1,CLI1063,Belo Horizonte,Cartão de Débito,Telefone,1
255,05-01-2025,O Hobbit,J.R.R. Tolkien,fantasia,83.71,1,CLI1064,Salvador,,Marketplace,4
39,15/01/25,"Pai Rico, Pai Pobre",Robert Kiyosaki,nao-ficção,"R$54,08",2,CLI1086,belo horizonte,Cartão de Débito,Loja Física,4
139,15/04/2025,Dom Casmurro,Machado de Assis,clássico,,1,CLI1128,Rio de Janeiro,,Telefone,4
525,03/01/25,1984,George Orwell,FICÇÃO,"R$ 59,33",2,CLI1196, Salvador,,Loja Física,
217,22-09-2025,Clean Code,Robert C. Martin,TECNICO,46.00,1,CLI1102,Osasco,Cartão de Crédito,Telefone,1
386,2025-08-14,O Alquimista,Paulo Coelho,Ficção,"R$58,94",1,CLI1077,Rio De Janeiro,Pix,Telefone,4
75,07-07-2025,A Menina que Roubava Livros,Markus Zusak,ficcao,"R$32,19",1,CLI1128,OSASCO ,Pix,Loja Física,
418,15/03/2025,O Poder do Hábito,Charles Duhigg,nao-ficção,"R$29,30",1,CLI1168,RJ,Cartão de Débito,Loja Física,
475,09/09/25,A Menina que Roubava Livros,Markus Zusak,ficcao,"R$ 28,59",2,CLI1007, Salvador,Cartão de Crédito,Marketplace,4
136,10-11-2025,Harry Potter e a Pedra Filosofal,J.K. Rowling,FANTASIA,,1,CLI1041,Belo Horizonte,Cartão de Débito,Marketplace,5
445,16/04/25,Python Fluente,Luciano Ramalho,técnico,"R$ 49,04",5,CLI1163, São Paulo,Pix,Telefone,3
259,2025-12-10,O Hobbit,J.R.R. Tolkien,FANTASIA,69.84,5,CLI1129,RJ,Pix,Loja Física,5
532,25/01/25,A Menina que Roubava Livros,Markus Zusak,FICÇÃO,78.81,4,CLI1019,rio de janeiro,Cartão de Crédito,Site,
553,01-07-2025,O Poder do Hábito,Charles Duhigg,Não-ficção,"R$ 78,81",2,CLI1012,Curitiba,Cartão de Crédito,Telefone,2
514,12-01-2026,O Hobbit,J.R.R. Tolkien,FANTASIA,67.90,3,CLI1066,Salvador,Boleto,Marketplace,3
322,2025-12-04,A Menina que Roubava Livros,Markus Zusak,FICÇÃO,,4,CLI1191,OSASCO ,Boleto,Telefone,2
522,15/05/25,1984,George Orwell,FICÇÃO,84.74,2,CLI1194,belo horizonte,Pix,Marketplace,cinco
453,25/09/25,1984,George Orwell,ficção,"R$60,37",2,CLI1055, Salvador,,Telefone,
527,2025-01-23,A Revolução dos Bichos,George Orwell,clássico,"R$61,49",1,CLI1115,BH,Pix,Loja Física,cinco
330,2025-07-01,A Menina que Roubava Livros,Markus Zusak,FICÇÃO,"R$ 25,22",1,CLI1146,S. Paulo,Pix,Loja Física,4
141,27/12/25,Sapiens,Yuval Noah Harari,NÃO-FICÇÃO,"R$35,64",2,CLI1176,OSASCO ,Cartão de Débito,Marketplace,4
461,08/07/2025,A Revolução dos Bichos,George Orwell,Clássico,"R$ 52,81",2,CLI1048,CURITIBA,Cartão de Débito,Site,2
535,01/03/25,Mindset,Carol Dweck,Não-ficção,"R$50,27",-1,CLI1043,OSASCO ,Cartão de Débito,Telefone,1
44,04/11/25,Mindset,Carol Dweck,nao-ficção,"R$ 27,03",2,CLI1144, Salvador,Cartão de Crédito,Marketplace,2
132,16/09/2025,Harry Potter e a Pedra Filosofal,J.K. Rowling,fantasia,54.72,1,CLI1061,belo horizonte,Boleto,Marketplace,
456,16/02/25,Duna,Frank Herbert,Ficção Científica,"R$44,99",2,CLI1122,Belo Horizonte,Pix,Loja Física,1
16,23/05/2025,Dom Casmurro,Machado de Assis,Clássico,"R$57,44",1,CLI1063,rio de janeiro,Cartão de Crédito,Telefone,
215,21/10/2025,O Alquimista,Paulo Coelho,ficção,"R$ 45,64",2,CLI1058,BH,,Site,2
485,2025-02-24,O Hobbit,J.R.R. Tolkien,fantasia,68.77,1,CLI1090,salvador,Cartão de Débito,Telefone,3
149,18-06-2025,Python Fluente,Luciano Ramalho,técnico,"R$46,75",5,CLI1149,Rio de Janeiro,,Site,5
358,2025-10-03,Mindset,Carol Dweck,nao-ficção,42.35,1,CLI1048,OSASCO ,,Telefone,4
116,21-01-2026,Python Fluente,Luciano Ramalho,técnico,"R$55,98",5,CLI1073,SÃO PAULO,Pix,Site,4
127,2025-06-05,Harry Potter e a Pedra Filosofal,J.K. Rowling,fantasia,"R$33,64",2,CLI1136,Osasco,Cartão de Crédito,Loja Física,cinco
57,25/12/25,A Menina que Roubava Livros,Markus Zusak,FICÇÃO,"R$ 50,64",5,CLI1069,CURITIBA,,Telefone,4
586,11-04-2025,A Menina que Roubava Livros,Markus Zusak,ficção,23.91,1,CLI1163,Osasco,Boleto,Site,4
276,09/12/25,Duna,Frank Herbert,FICCAO CIENTIFICA,"R$ 60,27",2,CLI1132, Salvador,,Site,5
417,06/12/25,O Pequeno Príncipe,Antoine de Saint-Exupéry,clássico,48.32,4,CLI1121,OSASCO ,Boleto,Loja Física,3
164,2025-01-08,O Pequeno Príncipe,Antoine de Saint-Exupéry,clássico,"R$34,52",3,CLI1048,Curitiba,Cartão de Crédito,Telefone,4
406,2025-05-21,A Menina que Roubava Livros,Markus Zusak,ficcao,,2,CLI1003,curitiba ,,Site,2
185,10/11/25,Mindset,Carol Dweck,Não-ficção,"R$ 73,73",3,CLI1144,Salvador,Cartão de Débito,Marketplace,1
493,17/01/25,Dom Casmurro,Machado de Assis,clássico,79.60,5,CLI1142,belo horizonte,Pix,Loja Física,3
285,11-10-2025,O Poder do Hábito,Charles Duhigg,NÃO-FICÇÃO,"R$ 78,92",3,CLI1051,CURITIBA,Boleto,Marketplace,4
494,22/03/25,O Poder do Hábito,Charles Duhigg,nao ficção,66.11,5,CLI1014,Belo Horizonte,Cartão de Débito,Marketplace,
58,2025-10-22,O Poder do Hábito,Charles Duhigg,NÃO-FICÇÃO,"R$21,71",2,CLI1005,salvador,Pix,Site,cinco
575,2025-11-23,Clean Code,Robert C. Martin,técnico,"R$83,22",-2,CLI1028,SÃO PAULO,Pix,Telefone,4
566,03/05/25,1984,George Orwell,FICÇÃO,"R$ 46,19",1,CLI1150,belo horizonte,Boleto,Telefone,cinco
154,24/10/2025,O Pequeno Príncipe,Antoine de Saint-Exupéry,Clássico,"R$ 47,62",1,CLI1011,OSASCO ,Cartão de Débito,Marketplace,2
137,11/12/2025,A Revolução dos Bichos,George Orwell,clássico,"R$ 53,14",1,CLI1106, Salvador,,Marketplace,2
26,01/04/25,Clean Code,Robert C. Martin,TECNICO,"R$72,36",2,CLI1006,curitiba ,Boleto,Marketplace,4
440,2025-01-22,"Pai Rico, Pai Pobre",Robert Kiyosaki,Não-ficção,"R$ 43,65",3,CLI1030,Belo Horizonte,Boleto,Telefone,4
459,01/02/2026,Mindset,Carol Dweck,NÃO-FICÇÃO,"R$32,17",1,CLI1035,SÃO PAULO,Pix,Loja Física,4
298,28-07-2025,"PAI RICO, PAI POBRE",Robert Kiyosaki,Não-ficção,"R$60,15",2,CLI1115,OSASCO ,Cartão de Débito,Telefone,4
48,27-11-2025,Sapiens,Yuval Noah Harari,nao ficção,"R$58,76",2,CLI1114,salvador,Cartão de Crédito,Site,
284,08-11-2025,O Poder do Hábito,Charles Duhigg,NÃO-FICÇÃO,"R$ 55,19",4,CLI1070, Salvador,Cartão de Débito,Marketplace,4
502,04/05/25,"Pai Rico, Pai Pobre",Robert Kiyosaki,Não-ficção,"R$56,46",3,CLI1191,curitiba ,Pix,Telefone,3
389,2025-07-14,Dom Casmurro,Machado de Assis,clássico,"R$ 70,78",1,CLI1196,CURITIBA,Boleto,Marketplace,1
279,2025-10-13,Dom Casmurro,Machado de Assis,CLASSICO,21.14,4,CLI1000,BH,Cartão de Crédito,Marketplace,
37,29/04/2025,A Menina que Roubava Livros,Markus Zusak,FICÇÃO,42.28,1,CLI1177,RJ,Boleto,Loja Física,4
84,04/12/2025,Mindset,Carol Dweck,nao-ficção,"R$86,08",1,CLI1077,S. Paulo,Cartão de Débito,Site,
202,16/12/2025,Clean Code,Robert C. Martin,Técnico,"R$59,53",5,CLI1011,CURITIBA,Cartão de Crédito,Telefone,1
68,2026-01-24,Dom Casmurro,Machado de Assis,CLASSICO,"R$46,50",3,CLI1138,OSASCO ,Cartão de Crédito,Site,
54,14-01-2026,O Hobbit,J.R.R. Tolkien,fantasia,"R$ 59,70",1,CLI1195,curitiba ,Boleto,Loja Física,2
556,02/08/25,O Pequeno Príncipe,Antoine de Saint-Exupéry,CLASSICO,"R$ 85,07",5,CLI1036,belo horizonte,,Loja Física,3
243,15-07-2025,O Poder do Hábito,Charles Duhigg,NÃO-FICÇÃO,"R$ 26,28",4,CLI1047,belo horizonte,Cartão de Débito,Site,5
352,23-03-2025,O Pequeno Príncipe,Antoine de Saint-Exupéry,clássico,"R$ 67,60",2,CLI1190,Rio De Janeiro,,Site,1
448,06-07-2025,Python Fluente,Luciano Ramalho,Técnico,"R$31,08",1,CLI1053,belo horizonte,Cartão de Débito,Marketplace,5
388,21/12/2025,1984,George Orwell,ficção,"R$81,68",1,CLI1183,BH,Cartão de Crédito,Site,3
232,16-10-2025,Duna,Frank Herbert,FICCAO CIENTIFICA,"R$ 21,87",3,CLI1144,salvador,Boleto,Telefone,3
520,16-09-2025,O Alquimista,Paulo Coelho,ficcao,"R$83,48",-1,CLI1097,Osasco,Pix,Telefone,cinco
315,2025-08-30,O Alquimista,Paulo Coelho,FICÇÃO,"R$86,21",2,CLI1043, Salvador,Boleto,Telefone,
1,22/02/2025,O Pequeno Príncipe,Antoine de Saint-Exupéry,CLASSICO,"R$ 39,15",2,CLI1022,São Paulo,,Telefone,
415,14/12/2025,Mindset,Carol Dweck,nao-ficção,,3,CLI1111,curitiba ,Pix,Site,5
373,28/01/2025,Sapiens,Yuval Noah Harari,nao-ficção,"R$72,94",1,CLI1158,salvador,Boleto,Marketplace,4
309,2025-09-07,Mindset,Carol Dweck,nao ficção,"R$ 85,64",1,CLI1016,Salvador,Pix,Marketplace,4
590,06-05-2025,A Menina que Roubava Livros,Markus Zusak,FICÇÃO,"R$ 70,22",3,CLI1050,rio de janeiro,Cartão de Crédito,Loja Física,3
272,2025-03-01,O Hobbit,J.R.R. Tolkien,fantasia,"R$ 45,12",3,CLI1194,Rio de Janeiro,Cartão de Crédito,Site,2
598,27/04/2025,O Pequeno Príncipe,Antoine de Saint-Exupéry,Clássico,40.52,1,CLI1030,SÃO PAULO,Cartão de Crédito,Marketplace,2
198,27/12/2025,Mindset,Carol Dweck,NÃO-FICÇÃO,"R$61,68",1,CLI1074,OSASCO ,,Marketplace,5
289,17-12-2025,Duna,Frank Herbert,FICCAO CIENTIFICA,"R$23,19",4,CLI1141,OSASCO ,Cartão de Crédito,Site,5
175,11-11-2025,O Alquimista,Paulo Coelho,ficção,78.61,3,CLI1101,S. Paulo,Pix,Site,cinco
353,2025-03-27,CLEAN CODE,Robert C. Martin,Técnico,"R$ 36,42",4,CLI1149,sao paulo,Cartão de Crédito,Telefone,5
572,31/07/2025,O Pequeno Príncipe,Antoine de Saint-Exupéry,clássico,"R$20,20",1,CLI1178, São Paulo,Cartão de Débito,Telefone,
492,05/10/2025,A Revolução dos Bichos,George Orwell,clássico,"R$66,25",5,CLI1138,Belo Horizonte,,Site,5
251,24/01/2026,Dom Casmurro,Machado de Assis,Clássico,,4,CLI1095,Rio De Janeiro,Cartão de Crédito,Loja Física,
82,16/03/2025,Mindset,Carol Dweck,NÃO-FICÇÃO,"R$ 74,11",1,CLI1138,rio de janeiro,Pix,Loja Física,3
504,19/01/2025,"Pai Rico, Pai Pobre",Robert Kiyosaki,nao ficção,"R$59,09",4,CLI1040,osasco,Pix,Loja Física,4
596,13/02/25,A Menina que Roubava Livros,Markus Zusak,ficção,"R$ 85,38",3,CLI1192,belo horizonte,Cartão de Crédito,Marketplace,3
287,13-04-2025,O Alquimista,Paulo Coelho,Ficção,"R$ 46,56",1,CLI1192,Curitiba,Boleto,Marketplace,5
179,28/03/25,Dom Casmurro,Machado de Assis,Clássico,"R$ 59,94",1,CLI1068, Salvador,Pix,Marketplace,3
209,2025-02-06,O Alquimista,Paulo Coelho,ficcao,"R$27,79",5,CLI1003,Rio De Janeiro,Pix,Marketplace,
190,02/10/25,Duna,Frank Herbert,ficção científica,"R$72,56",1,CLI1093,rio de janeiro,Pix,Loja Física,3
348,2025-08-22,A Menina que Roubava Livros,Markus Zusak,Ficção,,,CLI1115,Belo Horizonte,Pix,Telefone,cinco
269,13/11/25,A Menina que Roubava Livros,Markus Zusak,ficção,"R$ 49,22",1,CLI1072,CURITIBA,Cartão de Crédito,Site,2
244,26/06/2025,O Hobbit,J.R.R. Tolkien,Fantasia,"R$30,48",1,CLI1105,OSASCO ,,Loja Física,
478,17-12-2025,1984,George Orwell,ficção,"R$ 57,96",3,CLI1069, São Paulo,Pix,Site,5
317,11/11/2025,Harry Potter e a Pedra Filosofal,J.K. Rowling,fantasia,"R$ 77,76",1,CLI1009,CURITIBA,,Site,cinco
538,19/08/25,Dom Casmurro,Machado de Assis,CLASSICO,"R$ 69,08",5,CLI1062,rio de janeiro,Boleto,Marketplace,cinco
573,12/07/2025,Dom Casmurro,Machado de Assis,CLASSICO,51.06,1,CLI1091,Curitiba,Cartão de Débito,Loja Física,cinco
241,2025-01-26,Sapiens,Yuval Noah Harari,NÃO-FICÇÃO,"R$ 66,14",2,CLI1146,BH,,Telefone,4
374,25/09/2025,A Menina que Roubava Livros,Markus Zusak,Ficção,"R$43,13",2,CLI1140,belo horizonte,Cartão de Débito,Loja Física,5
264,02-09-2025,"Pai Rico, Pai Pobre",Robert Kiyosaki,nao ficção,"R$64,24",4,CLI1001,sao paulo,Cartão de Crédito,Loja Física,4
378,16-01-2025,Harry Potter e a Pedra Filosofal,J.K. Rowling,FANTASIA,"R$37,94",4,CLI1071,Osasco,Boleto,Loja Física,
30,05-02-2025,O Alquimista,Paulo Coelho,Ficção,"R$56,29",2,CLI1159,salvador,Pix,Site,5
191,28-06-2025,A Revolução dos Bichos,George Orwell,clássico,"R$61,69",4,CLI1117,CURITIBA,,Loja Física,5
290,07/10/25,O Hobbit,J.R.R. Tolkien,FANTASIA,"R$69,22",3,CLI1050,Belo Horizonte,Boleto,Marketplace,cinco
518,2025-01-15,Sapiens,Yuval Noah Harari,nao-ficção,"R$49,18",4,CLI1067,OSASCO ,Boleto,Telefone,5
342,19/07/25,"Pai Rico, Pai Pobre",Robert Kiyosaki,NÃO-FICÇÃO,"R$ 63,17",1,CLI1058,São Paulo,Boleto,Marketplace,5
400,29/01/2025,O Hobbit,J.R.R. Tolkien,fantasia,"R$74,78",4,CLI1076,curitiba ,,Marketplace,
370,2025-05-15,1984,George Orwell,Ficção,53.21,1,CLI1102,RJ,,Telefone,2
67,02-12-2025,A Revolução dos Bichos,George Orwell,clássico,20.97,1,CLI1019, São Paulo,Cartão de Débito,Marketplace,3
546,2025-09-13,Dom Casmurro,Machado de Assis,Clássico,"R$ 70,88",5,CLI1039,RJ,Pix,Marketplace,2
530,2025-11-04,Harry Potter e a Pedra Filosofal,J.K. Rowling,fantasia,81.88,5,CLI1023,Rio De Janeiro,Cartão de Débito,Marketplace,4
261,21/11/25,Clean Code,Robert C. Martin,técnico,,1,CLI1148,OSASCO ,,Site,cinco
407,23/06/2025,A Menina que Roubava Livros,Markus Zusak,ficção,"R$31,89",2,CLI1113,RJ,Cartão de Crédito,Loja Física,
410,16/06/25,1984,George Orwell,FICÇÃO,47.35,3,CLI1124,curitiba ,Cartão de Crédito,Site,
63,05/09/25,1984,George Orwell,FICÇÃO,"R$55,52",2,CLI1062,BH,Cartão de Débito,Loja Física,
549,25/11/25,"Pai Rico, Pai Pobre",Robert Kiyosaki,Não-ficção,"R$47,43",1,CLI1147,Rio De Janeiro,Cartão de Crédito,Marketplace,3
234,06-12-2025,Duna,Frank Herbert,FICCAO CIENTIFICA,"R$80,15",1,CLI1150,Rio de Janeiro,Cartão de Crédito,Marketplace,4
332,10-09-2025,Mindset,Carol Dweck,Não-ficção,"R$79,26",3,CLI1070, São Paulo,Cartão de Débito,Loja Física,cinco
405,2026-01-28,O Hobbit,J.R.R. Tolkien,fantasia,"R$ 52,58",1,CLI1005,Curitiba,,Marketplace,5
95,21/10/2025,O Alquimista,Paulo Coelho,ficcao,"R$84,38",3,CLI1181,Belo Horizonte,Cartão de Débito,Marketplace,4
513,2025-06-10,1984,George Orwell,ficção,"R$20,12",2,CLI1021,salvador,Cartão de Crédito,Loja Física,cinco
536,2025-12-20,MINDSET,Carol Dweck,NÃO-FICÇÃO,"R$ 63,19",3,CLI1077,salvador,Cartão de Crédito,Loja Física,4
131,2025-08-03,A Revolução dos Bichos,George Orwell,Clássico,23.44,4,CLI1040,rio de janeiro,Pix,Marketplace,4
361,29/12/2025,O Hobbit,J.R.R. Tolkien,FANTASIA,"R$ 24,15",4,CLI1157,S. Paulo,Pix,Site,1
381,27/01/26,Duna,Frank Herbert,ficção científica,"R$78,67",1,CLI1105,sao paulo,Cartão de Débito,Marketplace,5
423,16/10/2025,"Pai Rico, Pai Pobre",Robert Kiyosaki,nao-ficção,"R$ 22,37",2,CLI1015,osasco,Cartão de Débito,Loja Física,5
397,02/03/2025,Mindset,Carol Dweck,nao-ficção,"R$20,01",1,CLI1157,RJ,Cartão de Débito,Telefone,4
42,03/05/25,O Pequeno Príncipe,Antoine de Saint-Exupéry,Clássico,"R$33,86",1,CLI1121,São Paulo,Cartão de Crédito,Loja Física,3
145,27/11/2025,Python Fluente,Luciano Ramalho,TECNICO,"R$ 33,86",2,CLI1196,belo horizonte,Cartão de Crédito,Loja Física,1
181,2025-08-09,O Poder do Hábito,Charles Duhigg,nao ficção,"R$ 76,19",3,CLI1034,OSASCO ,Pix,Marketplace,cinco
32,19-09-2025,A Menina que Roubava Livros,Markus Zusak,FICÇÃO,"R$52,45",5,CLI1188,Rio De Janeiro,Boleto,Site,
331,02/07/2025,Duna,Frank Herbert,Ficção Científica,"R$35,94",2,CLI1199,RJ,Cartão de Crédito,Site,3
266,08/09/25,A MENINA QUE ROUBAVA LIVROS,Markus Zusak,FICÇÃO,"R$ 50,26",1,CLI1192,osasco,Boleto,Loja Física,5
441,2025-11-13,Dom Casmurro,Machado de Assis,clássico,"R$65,67",5,CLI1062,sao paulo,Boleto,Site,1
458,11/02/2025,O Alquimista,Paulo Coelho,FICÇÃO,68.76,2,CLI1085,osasco,Cartão de Crédito,Marketplace,cinco
280,14/11/2025,Clean Code,Robert C. Martin,Técnico,"R$79,00",3,CLI1121,Osasco,Pix,Telefone,cinco
555,17/08/25,O Poder do Hábito,Charles Duhigg,Não-ficção,"R$24,25",1,CLI1094,Belo Horizonte,,Telefone,2
529,12-01-2026,"Pai Rico, Pai Pobre",Robert Kiyosaki,nao-ficção,"R$28,34",5,CLI1175,belo horizonte,,Loja Física,5
438,05-12-2025,"Pai Rico, Pai Pobre",Robert Kiyosaki,nao-ficção,"R$32,26",1,CLI1076,OSASCO ,Cartão de Débito,Site,4
511,21/05/25,Python Fluente,Luciano Ramalho,técnico,81.46,4,CLI1199,BH,Cartão de Débito,Telefone,2
286,25-01-2026,Duna,Frank Herbert,FICCAO CIENTIFICA,57.87,3,CLI1143,Salvador,Cartão de Débito,Telefone,5
495,07-07-2025,O Pequeno Príncipe,Antoine de Saint-Exupéry,clássico,24.20,1,CLI1189,osasco,,Site,5
351,15/08/25,Python Fluente,Luciano Ramalho,Técnico,"R$ 28,44",2,CLI1188,osasco,Cartão de Crédito,Loja Física,4
257,30/11/2025,Clean Code,Robert C. Martin,técnico,"R$80,20",2,CLI1048,OSASCO ,Boleto,Loja Física,5
5,2025-12-16,Clean Code,Robert C. Martin,técnico,"R$ 34,57",2,CLI1155,RJ,Boleto,Loja Física,2
186,14-12-2025,Sapiens,Yuval Noah Harari,nao-ficção,51.10,4,CLI1176,CURITIBA,,Loja Física,cinco
599,06/11/2025,O Pequeno Príncipe,Antoine de Saint-Exupéry,clássico,"R$ 72,06",2,CLI1192,osasco,,Marketplace,3
345,24/01/2026,Clean Code,Robert C. Martin,Técnico,41.15,1,CLI1088,belo horizonte,Pix,Telefone,3
286,25-01-2026,Duna,Frank Herbert,FICCAO CIENTIFICA,57.87,3,CLI1143,Salvador,Cartão de Débito,Telefone,5
2,29-10-2025,Harry Potter e a Pedra Filosofal,J.K. Rowling,FANTASIA,"R$ 33,82",4,CLI1001,Curitiba,Boleto,Telefone,5
451,2025-11-09,Sapiens,Yuval Noah Harari,nao ficção,"R$ 23,70",4,CLI1045,S. Paulo,Cartão de Débito,Marketplace,
214,08/08/2025,O Hobbit,J.R.R. Tolkien,Fantasia,,1,CLI1134,OSASCO ,Cartão de Crédito,Marketplace,5
51,28/01/2025,Clean Code,Robert C. Martin,Técnico,"R$69,46",1,CLI1074,RJ,Boleto,Telefone,
236,12/06/25,1984,George Orwell,ficcao,"R$79,45",1,CLI1056,Rio de Janeiro,,Site,cinco
444,20/11/25,O Poder do Hábito,Charles Duhigg,nao-ficção,"R$ 50,61",1,CLI1096,RJ,Boleto,Site,cinco
359,08/03/25,O Pequeno Príncipe,Antoine de Saint-Exupéry,Clássico,"R$ 56,52",1,CLI1008,Osasco,Boleto,Site,3
414,2025-03-13,Mindset,Carol Dweck,nao ficção,,,CLI1193,belo horizonte,Cartão de Crédito,Loja Física,cinco
19,05/02/2025,Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,"R$87,15",1,CLI1017,Curitiba,Boleto,Telefone,cinco
471,10-07-2025,O Alquimista,Paulo Coelho,ficcao,"R$30,26",4,CLI1072,salvador,Pix,Marketplace,1
254,20-10-2025,Duna,Frank Herbert,ficção científica,,1,CLI1056,Salvador,Boleto,Loja Física,4
144,2025-06-19,Sapiens,Yuval Noah Harari,nao-ficção,"R$64,56",1,CLI1025, São Paulo,Boleto,Site,
480,15-08-2025,O Hobbit,J.R.R. Tolkien,fantasia,"R$44,27",3,CLI1133,Rio de Janeiro,Pix,Loja Física,cinco
